#q2 x cv sd
3.5 0.001 0.594903 0.0383782
3.5 0.00103514 0.591449 0.0407061
3.5 0.00107152 0.588004 0.0378702
3.5 0.00110917 0.58457 0.0340635
3.5 0.00114815 0.581146 0.0367425
3.5 0.0011885 0.577732 0.0290445
3.5 0.00123027 0.57433 0.029869
3.5 0.0012735 0.57094 0.0295914
3.5 0.00131826 0.567553 0.0319957
3.5 0.00136458 0.564183 0.037431
3.5 0.00141254 0.560828 0.0347429
3.5 0.00146218 0.55749 0.0308769
3.5 0.00151356 0.554169 0.0291075
3.5 0.00156675 0.550864 0.0369486
3.5 0.00162181 0.547574 0.0356231
3.5 0.0016788 0.5443 0.0357858
3.5 0.0017378 0.54104 0.0308708
3.5 0.00179887 0.537796 0.0364631
3.5 0.00186209 0.534569 0.0272388
3.5 0.00192752 0.531359 0.0357207
3.5 0.00199526 0.528163 0.0289839
3.5 0.00206538 0.524983 0.0328558
3.5 0.00213796 0.521819 0.0343315
3.5 0.00221309 0.518681 0.0311084
3.5 0.00229087 0.515551 0.0322495
3.5 0.00237137 0.512431 0.0326067
3.5 0.00245471 0.50932 0.0305776
3.5 0.00254097 0.50622 0.0349561
3.5 0.00263027 0.503131 0.0347156
3.5 0.0027227 0.500054 0.0251123
3.5 0.00281838 0.496976 0.0310324
3.5 0.00291743 0.493911 0.0316162
3.5 0.00301995 0.490866 0.0335134
3.5 0.00312608 0.48784 0.0292429
3.5 0.00323594 0.484831 0.0287742
3.5 0.00334965 0.481841 0.0263615
3.5 0.00346737 0.478867 0.032765
3.5 0.00358922 0.475916 0.0280948
3.5 0.00371535 0.472988 0.0318313
3.5 0.00384592 0.470068 0.0314608
3.5 0.00398107 0.467156 0.027832
3.5 0.00412098 0.464252 0.0235865
3.5 0.0042658 0.461358 0.0313396
3.5 0.0044157 0.458473 0.0250252
3.5 0.00457088 0.455599 0.0241692
3.5 0.00473151 0.452727 0.0239584
3.5 0.00489779 0.449871 0.0259473
3.5 0.00506991 0.447029 0.0231561
3.5 0.00524807 0.444203 0.0245082
3.5 0.0054325 0.441391 0.0300809
3.5 0.00562341 0.438595 0.0259876
3.5 0.00582103 0.435813 0.0279555
3.5 0.0060256 0.433053 0.0298765
3.5 0.00623735 0.430306 0.0273208
3.5 0.00645654 0.42757 0.0261747
3.5 0.00668344 0.424847 0.023372
3.5 0.00691831 0.422137 0.0293195
3.5 0.00716143 0.41944 0.0244064
3.5 0.0074131 0.416757 0.0277727
3.5 0.00767361 0.414091 0.0252135
3.5 0.00794328 0.41144 0.0266328
3.5 0.00822243 0.408803 0.0220771
3.5 0.00851138 0.40618 0.0251757
3.5 0.00881049 0.403572 0.0279998
3.5 0.00912011 0.400981 0.0253703
3.5 0.00944061 0.398406 0.0226688
3.5 0.00977237 0.395841 0.0241916
3.5 0.0101158 0.393292 0.0274853
3.5 0.0104713 0.390768 0.0210634
3.5 0.0108393 0.38827 0.024346
3.5 0.0112202 0.385797 0.0204218
3.5 0.0116145 0.383349 0.0237866
3.5 0.0120226 0.380925 0.0198363
3.5 0.0124451 0.378537 0.0204357
3.5 0.0128825 0.376176 0.0188817
3.5 0.0133352 0.37383 0.0198158
3.5 0.0138038 0.371502 0.0255288
3.5 0.0142889 0.369191 0.0199421
3.5 0.0147911 0.366898 0.0221438
3.5 0.0153109 0.364626 0.0246384
3.5 0.0158489 0.362353 0.0245877
