#x cv
0.594903 0.594862
0.591449 0.591415
0.588004 0.587977
0.58457 0.584549
0.581146 0.581131
0.577732 0.577724
0.57433 0.574327
0.57094 0.570943
0.567553 0.567563
0.564183 0.564199
0.560828 0.560848
0.55749 0.557514
0.554169 0.554195
0.550864 0.550891
0.547574 0.547602
0.5443 0.544326
0.54104 0.541064
0.537796 0.537819
0.534569 0.534589
0.531359 0.531375
0.528163 0.528177
0.524983 0.524993
0.521819 0.521826
0.518681 0.518683
0.515551 0.51555
0.512431 0.512426
0.50932 0.509312
0.50622 0.506209
0.503131 0.503116
0.500054 0.500036
0.496976 0.496955
0.493911 0.493888
0.490866 0.490841
0.48784 0.487813
0.484831 0.484803
0.481841 0.481811
0.478867 0.478836
0.475916 0.475883
0.472988 0.472952
0.470068 0.47003
0.467156 0.467119
0.464252 0.464219
0.461358 0.461329
0.458473 0.458451
0.455599 0.455584
0.452727 0.452725
0.449871 0.44988
0.447029 0.447048
0.444203 0.44423
0.441391 0.441425
0.438595 0.438634
0.435813 0.435856
0.433053 0.433109
0.430306 0.430371
0.42757 0.427638
0.424847 0.424911
0.422137 0.422193
0.41944 0.419484
0.416757 0.416786
0.414091 0.414082
0.41144 0.411391
0.408803 0.408726
0.40618 0.406087
0.403572 0.403473
0.400981 0.400884
0.398406 0.398319
0.395841 0.395788
0.393292 0.393284
0.390768 0.390794
0.38827 0.388319
0.385797 0.38586
0.383349 0.383418
0.380925 0.380994
0.378537 0.378585
0.376176 0.376194
0.37383 0.373826
0.371502 0.371482
0.369191 0.369163
0.366898 0.366867
0.364626 0.364596
0.362353 0.362343
0.360099 0.360113
0.357885 0.357915
0.355709 0.355747
0.353569 0.353609
0.351464 0.351499
0.349392 0.349418
0.347378 0.34737
0.345386 0.345348
0.343406 0.343347
0.341439 0.34137
0.339487 0.339415
0.337552 0.337482
0.335629 0.335572
0.333712 0.333684
0.331824 0.331819
0.329965 0.329976
0.328133 0.328155
0.326328 0.326357
0.32455 0.324581
0.322807 0.322835
0.321087 0.321109
0.319386 0.319402
0.317705 0.317714
0.316044 0.316046
0.314405 0.314399
0.312794 0.312774
0.311206 0.311172
0.309636 0.309594
0.308085 0.308042
0.306556 0.306516
0.30505 0.305017
0.303567 0.303548
0.302112 0.302108
0.300686 0.300695
0.299291 0.299312
0.29793 0.29796
0.296602 0.296639
0.295294 0.295345
0.294031 0.294088
0.292814 0.292871
0.291643 0.291693
0.290517 0.290556
0.289428 0.289444
0.288379 0.28837
0.287376 0.287348
0.286416 0.286377
0.285496 0.28545
0.284599 0.284554
0.283722 0.283682
0.282899 0.282864
0.282118 0.282091
0.281372 0.281352
0.280636 0.280628
0.279911 0.279915
0.279208 0.279218
0.278511 0.278521
0.277806 0.277812
0.277084 0.277072
0.276318 0.276294
0.275493 0.275463
0.274594 0.274566
0.273604 0.273591
0.272515 0.272518
0.271318 0.271328
0.269999 0.270008
0.268554 0.268551
0.26696 0.266939
0.265177 0.265151
0.2632 0.263178
0.261028 0.261017
0.258647 0.258652
0.256047 0.256071
0.253226 0.253268
0.25018 0.250247
0.246908 0.246989
0.243408 0.243493
0.239689 0.239769
0.235731 0.2358
0.231525 0.231579
0.227058 0.227097
0.222357 0.222378
0.217475 0.217472
0.212412 0.212379
0.207139 0.207076
0.201601 0.201516
0.195804 0.195703
0.189768 0.189661
0.183512 0.183412
0.177046 0.176963
0.170373 0.170318
0.163504 0.163484
0.156454 0.156476
0.149245 0.149296
0.141902 0.141967
0.134425 0.134494
0.126836 0.126902
0.119162 0.119218
0.111421 0.111459
0.103657 0.103679
0.0959 0.0958971
0.0882073 0.0881726
0.0805935 0.0805445
0.0731262 0.0730715
0.065833 0.0658028
0.0587598 0.0587933
0.0520229 0.0520945
0.0456891 0.045753
0.0397798 0.039813
0.0343167 0.034306
0.0293015 0.0292651
0.0247436 0.0247009
0.0206559 0.0206309
0.0170218 0.0170411
0.0139031 0.0139295
0.0112622 0.0112592
0.00901744 0.00900444
0.00712495 0.00711637
0.00555191 0.00555035
0.00425424 0.004257
1.12386 1.12381
1.11386 1.11381
1.10391 1.10387
1.09403 1.094
1.08421 1.08418
1.07445 1.07443
1.06475 1.06474
1.05512 1.05511
1.04553 1.04553
1.03601 1.03602
1.02656 1.02657
1.01718 1.01719
1.00786 1.00788
0.998614 0.998633
0.989428 0.989449
0.98032 0.980342
0.971282 0.971304
0.962296 0.962317
0.95336 0.953381
0.944479 0.944499
0.93565 0.935669
0.926876 0.926894
0.918156 0.918172
0.909469 0.909483
0.90085 0.900862
0.892299 0.89231
0.883814 0.883823
0.875396 0.875403
0.867042 0.867048
0.858753 0.858757
0.85054 0.850542
0.842388 0.842387
0.834292 0.834289
0.82625 0.826246
0.818263 0.818259
0.810333 0.810329
0.802459 0.802455
0.794637 0.794632
0.786867 0.786862
0.779158 0.779154
0.771512 0.771508
0.763925 0.763923
0.7564 0.7564
0.748935 0.748937
0.741529 0.741534
0.734189 0.7342
0.726904 0.726919
0.719675 0.719694
0.712503 0.712523
0.705387 0.705406
0.698326 0.698345
0.691322 0.691338
0.684373 0.684386
0.677481 0.677489
0.670645 0.670649
0.663865 0.663864
0.657141 0.657136
0.650474 0.650464
0.643863 0.643848
0.637313 0.637289
0.63082 0.630787
0.624379 0.62434
0.617991 0.61795
0.611657 0.611616
0.605377 0.605339
0.599151 0.599117
0.592971 0.592949
0.586842 0.586836
0.580777 0.580783
0.574775 0.574788
0.568835 0.568853
0.562956 0.562975
0.557138 0.557157
0.551384 0.551395
0.54569 0.545689
0.54005 0.540041
0.534464 0.534449
0.52893 0.528913
0.523449 0.523431
0.518022 0.518005
0.51264 0.51263
0.50731 0.507308
0.502039 0.502044
0.496826 0.496835
0.491669 0.491681
0.486568 0.486581
0.481522 0.481534
0.476543 0.476548
0.471613 0.471611
0.466726 0.46672
0.461882 0.461875
0.457084 0.457076
0.452329 0.452323
0.447618 0.447615
0.442947 0.442954
0.438326 0.438339
0.433753 0.43377
0.429229 0.429247
0.424753 0.42477
0.420324 0.420339
0.415952 0.41596
0.411625 0.411626
0.407339 0.407335
0.403096 0.403087
0.398897 0.398885
0.394743 0.394728
0.390635 0.390616
0.386574 0.386552
0.382559 0.382536
0.37859 0.378569
0.374669 0.374652
0.370798 0.370786
0.366972 0.366969
0.363199 0.363205
0.359481 0.359494
0.355819 0.355837
0.352214 0.352234
0.348665 0.348686
0.345155 0.345177
0.341712 0.341733
0.338337 0.338353
0.335026 0.335036
0.331778 0.33178
0.328583 0.328571
0.325443 0.325417
0.322366 0.32233
0.319346 0.319306
0.316379 0.316338
0.31345 0.313413
0.310558 0.310528
0.307719 0.307697
0.304924 0.304911
0.302165 0.30216
0.299423 0.29943
0.296698 0.296717
0.293992 0.294018
0.291293 0.291323
0.288589 0.288621
0.285874 0.285903
0.283124 0.28315
0.280329 0.280351
0.277478 0.277495
0.274568 0.27458
0.271577 0.271585
0.268491 0.268493
0.265302 0.265296
0.262004 0.261988
0.258588 0.258562
0.255045 0.255016
0.251368 0.25134
0.247567 0.247546
0.243607 0.243594
0.239479 0.239475
0.235185 0.235189
0.230725 0.230738
0.226103 0.226121
0.22132 0.221339
0.216379 0.216397
