#x cv
0.594903 0.595687
0.591449 0.592144
0.588004 0.588611
0.58457 0.58509
0.581146 0.581581
0.577732 0.578085
0.57433 0.574602
0.57094 0.571134
0.567553 0.567669
0.564183 0.564224
0.560828 0.5608
0.55749 0.557399
0.554169 0.55402
0.550864 0.550662
0.547574 0.547325
0.5443 0.544006
0.54104 0.540705
0.537796 0.537428
0.534569 0.534175
0.531359 0.530945
0.528163 0.527736
0.524983 0.524549
0.521819 0.521384
0.518681 0.518248
0.515551 0.515126
0.512431 0.51202
0.50932 0.508927
0.50622 0.50585
0.503131 0.502787
0.500054 0.49974
0.496976 0.496696
0.493911 0.493668
0.490866 0.490661
0.48784 0.487673
0.484831 0.484704
0.481841 0.481753
0.478867 0.478819
0.475916 0.475907
0.472988 0.473017
0.470068 0.470134
0.467156 0.467259
0.464252 0.46439
0.461358 0.46153
0.458473 0.458677
0.455599 0.455832
0.452727 0.452996
0.449871 0.450168
0.447029 0.447349
0.444203 0.444539
0.441391 0.441737
0.438595 0.438945
0.435813 0.436163
0.433053 0.433409
0.430306 0.43066
0.42757 0.427913
0.424847 0.425169
0.422137 0.42243
0.41944 0.419698
0.416757 0.416976
0.414091 0.414244
0.41144 0.411523
0.408803 0.408829
0.40618 0.406161
0.403572 0.403519
0.400981 0.400903
0.398406 0.398312
0.395841 0.395754
0.393292 0.393224
0.390768 0.390711
0.38827 0.388217
0.385797 0.385743
0.383349 0.383289
0.380925 0.380856
0.378537 0.37844
0.376176 0.376043
0.37383 0.373675
0.371502 0.371333
0.369191 0.369019
0.366898 0.366732
0.364626 0.364472
0.362353 0.362233
0.360099 0.36002
0.357885 0.357839
0.355709 0.355688
0.353569 0.353568
0.351464 0.351477
0.349392 0.349415
0.347378 0.347387
0.345386 0.345383
0.343406 0.343401
0.341439 0.34144
0.339487 0.3395
0.337552 0.33758
0.335629 0.335682
0.333712 0.333805
0.331824 0.331949
0.329965 0.330111
0.328133 0.328293
0.326328 0.326495
0.32455 0.324717
0.322807 0.32297
0.321087 0.321239
0.319386 0.319522
0.317705 0.31782
0.316044 0.316135
0.314405 0.314468
0.312794 0.312821
0.311206 0.311195
0.309636 0.309592
0.308085 0.308013
0.306556 0.30646
0.30505 0.304935
0.303567 0.303435
0.302112 0.301966
0.300686 0.300533
0.299291 0.299136
0.29793 0.297777
0.296602 0.296456
0.295294 0.295159
0.294031 0.29391
0.292814 0.29271
0.291643 0.291558
0.290517 0.290451
0.289428 0.289378
0.288379 0.288344
0.287376 0.287363
0.286416 0.28643
0.285496 0.285539
0.284599 0.284677
0.283722 0.28384
0.282899 0.283044
0.282118 0.282282
0.281372 0.281543
0.280636 0.280813
0.279911 0.280087
0.279208 0.279366
0.278511 0.278638
0.277806 0.277892
0.277084 0.277109
0.276318 0.276288
0.275493 0.275417
0.274594 0.274483
0.273604 0.273473
0.272515 0.272371
0.271318 0.271162
0.269999 0.269834
0.268554 0.268376
0.26696 0.266773
0.265177 0.265003
0.2632 0.263057
0.261028 0.260929
0.258647 0.258601
0.256047 0.256059
0.253226 0.253296
0.25018 0.250314
0.246908 0.247091
0.243408 0.243622
0.239689 0.239921
0.235731 0.235965
0.231525 0.231747
0.227058 0.227258
0.222357 0.222524
0.217475 0.217593
0.212412 0.212467
0.207139 0.207127
0.201601 0.201526
0.195804 0.195671
0.189768 0.18959
0.183512 0.183308
0.177046 0.176831
0.170373 0.170168
0.163504 0.163328
0.156454 0.156322
0.149245 0.149158
0.141902 0.141854
0.134425 0.134415
0.126836 0.126863
0.119162 0.119221
0.111421 0.111504
0.103657 0.103761
0.0959 0.096005
0.0882073 0.0882972
0.0805935 0.0806708
0.0731262 0.0731872
0.065833 0.0658957
0.0587598 0.0588547
0.0520229 0.0521215
0.0456891 0.0457459
0.0397798 0.0397796
0.0343167 0.0342555
0.0293015 0.02921
0.0247436 0.024652
0.0206559 0.0205956
0.0170218 0.0170236
0.0139031 0.0139265
0.0112622 0.0112669
0.00901744 0.0090146
0.00712495 0.00712378
0.00555191 0.00555224
0.00425424 0.00425485
1.12386 1.12201
1.11386 1.11227
1.10391 1.10257
1.09403 1.09291
1.08421 1.08329
1.07445 1.07371
1.06475 1.06418
1.05512 1.05469
1.04553 1.04523
1.03601 1.03583
1.02656 1.02648
1.01718 1.01719
1.00786 1.00795
0.998614 0.998768
0.989428 0.989642
0.98032 0.980582
0.971282 0.971583
0.962296 0.962629
0.95336 0.953721
0.944479 0.944862
0.93565 0.936051
0.926876 0.92729
0.918156 0.918579
0.909469 0.909895
0.90085 0.901275
0.892299 0.892723
0.883814 0.884233
0.875396 0.875808
0.867042 0.867445
0.858753 0.859145
0.85054 0.850918
0.842388 0.84275
0.834292 0.834637
0.82625 0.826578
0.818263 0.818572
0.810333 0.810622
0.802459 0.802727
0.794637 0.794883
0.786867 0.78709
0.779158 0.779358
0.771512 0.771687
0.763925 0.764077
0.7564 0.756526
0.748935 0.749036
0.741529 0.741605
0.734189 0.734242
0.726904 0.726934
0.719675 0.71968
0.712503 0.712481
0.705387 0.705337
0.698326 0.698248
0.691322 0.691215
0.684373 0.684236
0.677481 0.677314
0.670645 0.67045
0.663865 0.663644
0.657141 0.656897
0.650474 0.650208
0.643863 0.643578
0.637313 0.637005
0.63082 0.63049
0.624379 0.624036
0.617991 0.617641
0.611657 0.611306
0.605377 0.605031
0.599151 0.598815
0.592971 0.592654
0.586842 0.58655
0.580777 0.58051
0.574775 0.574531
0.568835 0.568615
0.562956 0.562759
0.557138 0.556964
0.551384 0.551228
0.54569 0.54555
0.54005 0.539931
0.534464 0.534369
0.52893 0.528862
