Seed  np arch1 chi2/dat duration
3072 37 12 0.979911 21.7471
9311 37 12 0.96623 20.5969
8245 37 12 204.82 21.3249
716 37 12 0.969868 21.5897
2583 37 12 1.05659 21.5094
926 37 12 725.623 18.9966
256 37 12 0.978037 21.4381
7779 37 12 0.966164 21.3079
5013 37 12 0.962351 21.5267
2003 37 12 0.97487 21.7373
686 37 12 0.973447 20.2884
1923 37 12 0.977724 21.0211
1134 37 12 0.975154 22.6851
9529 37 12 0.986197 22.7981
6437 37 12 0.964926 23.806
6687 37 12 0.985353 23.8045
4023 37 12 0.962023 23.1739
7413 37 12 1.55932 19.627
4320 37 12 0.983865 20.9705
3517 37 12 0.967574 21.3719
2969 37 12 0.969168 22.0234
4320 37 12 0.983865 20.9691
8064 37 12 0.972603 21.1775
4998 37 12 0.982293 21.448
9265 37 12 1.07254 19.0253
7561 37 12 0.968277 20.8155
1982 37 12 1.10005 20.8972
4687 37 12 0.970912 22.5012
1221 37 12 127.35 20.1416
8491 37 12 4.32185 22.8479
1795 37 12 71.3647 22.9203
9082 37 12 2.14971 22.7867
6390 37 12 2.6364 21.4577
8134 37 12 169.826 23.0079
7227 37 12 328.988 19.8399
7479 37 12 1.17395 21.7151
1056 37 12 0.970773 22.0733
2033 37 12 0.98003 22.8835
7022 37 12 9.80048 22.6333
8490 37 12 21.0561 23.3654
7106 37 12 9.54732 22.9566
1191 37 12 177.244 20.9844
3164 37 12 25.0345 22.0154
8924 37 12 883.182 22.9916
3535 37 12 0.970505 25.5655
1881 37 12 1.30456 22.7297
937 37 12 0.984617 21.1105
6708 37 12 0.983853 24.0786
7387 37 12 0.974127 21.6238
167 37 12 0.973247 21.6913
830 37 12 0.965281 20.1701
