Seed  np arch1 chi2/dat duration
4447 58 19 318249 0.619147
437 58 19 3.9716 131.003
8725 58 19 0.963275 123.377
5892 58 19 5498.76 0.629161
7914 58 19 1.22939e+07 0.461382
2119 58 19 0.963684 124.297
6301 58 19 0.980935 137.913
4145 58 19 4.77921e+06 0.910651
7847 58 19 0.962775 130.833
6544 58 19 71.9126 124.76
7293 58 19 904308 0.430334
547 58 19 326888 0.611489
802 58 19 0.963565 129.492
391 58 19 358587 0.456791
3144 58 19 78925.1 55.3783
3081 58 19 13578.9 103.723
2533 58 19 0.976535 126.42
3676 58 19 0.972285 130.96
1804 58 19 11245.9 106.008
8030 58 19 3.14144e+08 0.450671
6683 58 19 4.28799e+06 88.6403
7507 58 19 758411 0.431029
2619 58 19 95.6048 102.147
1694 58 19 0.972299 126.928
6688 58 19 0.958087 129.583
1768 58 19 402758 36.5533
787 58 19 2.05593e+07 0.430964
7755 58 19 0.962789 132.238
2541 58 19 0.975341 125.525
1987 58 19 430721 0.45428
2237 58 19 303.771 104.671
4286 58 19 77278.9 0.432857
3893 58 19 0.968188 130.448
6 58 19 40.1938 104.526
4001 58 19 0.967806 129.719
2146 58 19 554.841 121.092
8656 58 19 2.01087 126.576
7948 58 19 440991 0.435521
8995 58 19 80352.9 77.3287
6647 58 19 28.6652 123.167
8255 58 19 722004 0.591299
6764 58 19 14658 58.472
5342 58 19 14.4697 125.839
8121 58 19 467797 0.461247
9474 58 19 0.978968 121.152
9465 58 19 0.974681 130
9682 58 19 1.61834e+06 0.764153
2873 58 19 30144.4 58.5094
1230 58 19 560045 119.091
2343 58 19 425037 37.3251
8966 58 19 1.08819 121.353
