Seed  np arch1 chi2/dat duration
2441 40 13 0.98276 574.168
1141 40 13 0.978496 561.343
1440 40 13 3.12651 464.91
5786 40 13 0.972126 553.675
9546 40 13 244.127 477.746
464 40 13 1.81155 500.196
6246 40 13 0.964131 576.836
3264 40 13 0.967415 590.091
8570 40 13 0.973859 473.088
7785 40 13 0.971251 511.498
6610 40 13 1.00323 590.477
1523 40 13 0.974141 592.005
2737 40 13 128.784 570.018
1516 40 13 0.961011 563.318
1320 40 13 25.91 552.208
853 40 13 13.1055 499.194
508 40 13 24.9425 599.915
1444 40 13 615.141 586.892
2876 40 13 0.980039 606.503
4170 40 13 9.65146 556.937
4217 40 13 0.979501 599.362
1452 40 13 0.985532 569.002
2540 40 13 0.960641 577.221
2007 40 13 1.21604 584.352
4403 40 13 1.22579 567.459
7464 40 13 22.6003 591.355
1196 40 13 3.99259 489.488
4847 40 13 0.96657 495.104
103 40 13 0.975247 574.073
3273 40 13 1.01207 559.315
8751 40 13 0.971297 597.502
2855 40 13 0.965507 575.402
8995 40 13 0.978158 598.292
3820 40 13 0.969944 571.533
7875 40 13 0.964234 493.163
1496 40 13 1.06732 600.231
3560 40 13 1.3346 477.403
1902 40 13 32.9738 527.17
6786 40 13 27.3855 577.558
4657 40 13 0.964146 548.507
7423 40 13 0.968883 523.451
6598 40 13 114.788 566.124
746 40 13 0.975707 563.872
1875 40 13 0.967257 592.775
657 40 13 0.957408 580.395
2211 40 13 66.1545 554.733
3903 40 13 1.17068 433.472
6229 40 13 7.86638 589.822
148 40 13 0.973105 576.269
5895 40 13 0.972433 577.927
852 40 13 0.974175 577.751
