Seed  np arch1 arch2 chi2/dat duration
3709 27 4 3 1894.68 0.639616
3732 27 4 3 6723.09 27.5649
8917 27 4 3 1108.82 28.7654
53 27 4 3 4996.69 0.336042
2445 27 4 3 1188.72 25.4724
1038 27 4 3 16432.8 26.7902
9969 27 4 3 95.1419 25.5961
2256 27 4 3 750.084 25.8639
1474 27 4 3 511.283 26.0805
1490 27 4 3 1008.21 28.7119
3134 27 4 3 923.624 0.299984
9202 27 4 3 1732.44 0.258185
3853 27 4 3 1496.74 29.8481
2007 27 4 3 263.69 25.9383
7059 27 4 3 742.719 27.7788
8829 27 4 3 2657.24 25.9734
8615 27 4 3 536.598 26.7112
2323 27 4 3 770.294 25.4679
2428 27 4 3 1347.55 0.338637
6667 27 4 3 49.3713 27.6749
2610 27 4 3 25134.8 0.289132
9403 27 4 3 408.104 28.1331
9392 27 4 3 353.427 27.7162
6998 27 4 3 1314.11 25.8651
3383 27 4 3 1880.66 0.504201
9618 27 4 3 27579.2 26.8041
7081 27 4 3 2042.43 29.1317
7680 27 4 3 344.361 27.5009
6117 27 4 3 368.529 27.1692
1850 27 4 3 739.014 0.287205
230 27 4 3 14012.5 20.5357
7162 27 4 3 1039.89 30.072
7836 27 4 3 355.279 26.1345
7334 27 4 3 274.701 26.6743
6396 27 4 3 139.235 28.4725
8826 27 4 3 704.855 25.9449
5986 27 4 3 1741.97 0.882331
132 27 4 3 337.356 24.6573
9503 27 4 3 158.394 28.4289
3087 27 4 3 569.289 23.3471
773 27 4 3 425.49 25.4329
349 27 4 3 747.06 29.4123
1772 27 4 3 1105.73 0.400454
2786 27 4 3 1079.71 26.6158
189 27 4 3 5576.69 29.6005
3841 27 4 3 607.098 11.9836
6549 27 4 3 5887.02 28.8501
5043 27 4 3 57610.8 0.450527
898 27 4 3 959.076 29.2658
7022 27 4 3 2159.15 0.183257
2223 27 4 3 8554.33 0.686989
