Seed  np arch1 arch2 chi2/dat duration
9949 129 10 9 408005 1.36162
4619 129 10 9 23495.3 20.0926
5151 129 10 9 88427.6 36.8815
1222 129 10 9 1.01893 325.478
7040 129 10 9 144345 0.933303
1687 129 10 9 174210 1.38284
2125 129 10 9 63645.9 1.37246
9504 129 10 9 3103.73 3.37196
5223 129 10 9 4.12937e+06 1.28731
470 129 10 9 2.81357e+06 1.3106
7322 129 10 9 0.936218 388.385
8149 129 10 9 0.958863 347.884
9222 129 10 9 251808 1.36687
7442 129 10 9 212.481 290.343
6266 129 10 9 0.945708 391.834
2740 129 10 9 231431 1.28702
7669 129 10 9 40411.9 1.35036
1717 129 10 9 56075.4 21.1099
3242 129 10 9 321210 1.32667
5990 129 10 9 76099.4 1.35699
356 129 10 9 16396.3 11.7853
4453 129 10 9 1.36149e+06 1.32335
9021 129 10 9 176312 1.75348
5335 129 10 9 451149 1.36701
8640 129 10 9 402158 1.33889
7182 129 10 9 839354 1.28141
9978 129 10 9 155580 1.5196
2848 129 10 9 39424.6 1.38091
4999 129 10 9 2.22034e+07 1.8014
3629 129 10 9 5.23308e+07 1.28322
9143 129 10 9 467018 1.34037
8188 129 10 9 1.62669e+06 1.30203
9798 129 10 9 951487 3.19423
9688 129 10 9 8.28455e+09 0.89302
9318 129 10 9 484592 1.35899
6631 129 10 9 108381 48.7355
7487 129 10 9 4.66461e+06 156.582
7562 129 10 9 185242 1.81554
1062 129 10 9 2.06324e+08 1.77891
8169 129 10 9 20321.6 190.197
2399 129 10 9 493496 24.793
7163 129 10 9 7.16053e+06 82.575
712 129 10 9 1.31175e+07 285.322
4777 129 10 9 714633 0.887244
304 129 10 9 39868.4 6.22504
5662 129 10 9 763159 64.0678
5843 129 10 9 2.297e+07 1.2833
2441 129 10 9 685631 1.61068
6460 129 10 9 80204.5 1.37843
976 129 10 9 4.36885e+08 1.33427
1181 129 10 9 91715.3 35.3776
