Seed  np arch1 arch2 arch3 chi2/dat duration
1818 134 10 7 4 1757.13 0.364752
1101 134 10 7 4 945.592 50.7523
6737 134 10 7 4 762.839 45.8636
2791 134 10 7 4 270.184 43.6522
5843 134 10 7 4 8983.49 47.3182
6367 134 10 7 4 1845.84 2.95774
6615 134 10 7 4 185.474 40.4372
6011 134 10 7 4 160280 2.19042
1333 134 10 7 4 1728.4 0.471134
3809 134 10 7 4 531.136 1.20808
2396 134 10 7 4 4384.29 1.96286
5195 134 10 7 4 1821.34 0.603516
9863 134 10 7 4 614.564 51.4919
9157 134 10 7 4 1577.17 47.7542
5631 134 10 7 4 19355.7 0.467795
4607 134 10 7 4 5734.77 0.337069
4867 134 10 7 4 1.77395 42.0651
2275 134 10 7 4 44905.9 0.388249
2621 134 10 7 4 329.652 43.3396
2644 134 10 7 4 14659.7 44.3931
3201 134 10 7 4 5645.34 1.07237
1367 134 10 7 4 2081.47 43.9856
8483 134 10 7 4 335.493 1.15965
2733 134 10 7 4 529.478 49.2223
4474 134 10 7 4 100982 47.9272
3182 134 10 7 4 4598.3 0.449249
6594 134 10 7 4 3435.12 0.6099
729 134 10 7 4 933.722 0.35622
7720 134 10 7 4 269.684 42.3903
5194 134 10 7 4 2459.58 0.884354
2333 134 10 7 4 105.967 41.9412
2753 134 10 7 4 472.875 3.82583
3618 134 10 7 4 7508.42 0.874744
2397 134 10 7 4 454.082 47.1648
8386 134 10 7 4 28004.7 1.25063
7506 134 10 7 4 5071.43 44.8306
3417 134 10 7 4 0.955121 47.3944
2812 134 10 7 4 1106.16 0.312932
9019 134 10 7 4 8619.91 43.7882
9954 134 10 7 4 338.363 48.8103
5418 134 10 7 4 2575.93 46.77
7964 134 10 7 4 0.935189 47.9457
2811 134 10 7 4 562.911 0.803552
3619 134 10 7 4 2198.24 43.9548
749 134 10 7 4 1626.51 0.413163
163 134 10 7 4 978.275 44.7257
7655 134 10 7 4 13805.4 0.376797
6082 134 10 7 4 3144.64 40.4957
2856 134 10 7 4 0.940868 43.4151
8251 134 10 7 4 1.33821 56.5733
3612 134 10 7 4 0.921569 48.8692
