Seed  np arch1 arch2 arch3 chi2/dat duration
5755 134 9 7 5 39111.5 1.82095
451 134 9 7 5 84714.6 1.78375
6896 134 9 7 5 1.1651e+09 1.71661
9338 134 9 7 5 35035.6 18.5806
7884 134 9 7 5 474765 1.18091
531 134 9 7 5 4.74822e+06 1.71733
7572 134 9 7 5 51745.4 1.16815
3012 134 9 7 5 1.11382e+06 1.16179
9525 134 9 7 5 949.604 415.912
8113 134 9 7 5 6.13325e+09 1.1724
6752 134 9 7 5 9.5211e+06 1.71116
478 134 9 7 5 27805.7 143.686
1743 134 9 7 5 49510.3 1.19589
3833 134 9 7 5 958.658 498.969
1380 134 9 7 5 671452 1.1708
8652 134 9 7 5 145621 1.80613
542 134 9 7 5 0.927057 530.004
2580 134 9 7 5 169010 1.73024
4099 134 9 7 5 6886.26 3.62417
8147 134 9 7 5 408062 1.17729
4520 134 9 7 5 102537 1.17176
2466 134 9 7 5 509382 1.18252
2371 134 9 7 5 58740.1 1.72542
1544 134 9 7 5 221057 155.112
2411 134 9 7 5 68034.8 1.78696
9774 134 9 7 5 494163 2.05662
4254 134 9 7 5 1.43882e+07 2.35753
225 134 9 7 5 1.68308e+06 1.36216
5740 134 9 7 5 614182 1.29937
8569 134 9 7 5 5.35485e+06 1.96414
6785 134 9 7 5 23330 49.6372
8231 134 9 7 5 7264.83 1.51591
1309 134 9 7 5 2.38438e+06 2.22804
7912 134 9 7 5 131554 1.24087
1188 134 9 7 5 7.16461e+07 1.85853
7851 134 9 7 5 937131 1.27898
9297 134 9 7 5 3.79615e+06 1.42894
4367 134 9 7 5 8535.25 2.47995
7747 134 9 7 5 521410 2.16968
1393 134 9 7 5 6.54964e+06 2.21138
4560 134 9 7 5 819.484 40.8857
2992 134 9 7 5 233425 2.05552
3527 134 9 7 5 1.41257e+06 2.53032
2797 134 9 7 5 4.27369e+06 1.87967
7031 134 9 7 5 1953.81 1.93287
4880 134 9 7 5 724751 2.32158
190 134 9 7 5 36646.8 1.30033
5284 134 9 7 5 1.46554e+07 1.79207
1658 134 9 7 5 43671.2 2.44509
8733 134 9 7 5 24248.9 1.37839
9976 134 9 7 5 1.02773e+06 2.18031
