Seed  np arch1 arch2 arch3 arch4 chi2/dat duration
8667 126 4 5 6 7 3.52893 55.7662
3284 126 4 5 6 7 1769.08 57.3989
9840 126 4 5 6 7 1647.3 56.3818
4188 126 4 5 6 7 1221.77 3.64931
5428 126 4 5 6 7 1190.75 5.40503
9845 126 4 5 6 7 968.97 53.7774
9790 126 4 5 6 7 2307.33 51.8039
6230 126 4 5 6 7 9572.88 1.13402
8172 126 4 5 6 7 2369.72 0.451204
1389 126 4 5 6 7 753.837 58.3614
2059 126 4 5 6 7 216.478 49.5841
2262 126 4 5 6 7 15350.8 0.505866
8521 126 4 5 6 7 70169.5 0.405519
4469 126 4 5 6 7 1734.8 55.6151
4721 126 4 5 6 7 3170.11 1.20682
1895 126 4 5 6 7 8782.27 51.4691
723 126 4 5 6 7 0.943508 53.1341
2053 126 4 5 6 7 1845.47 43.2762
1141 126 4 5 6 7 862.32 1.46495
44 126 4 5 6 7 6325.18 53.6517
6862 126 4 5 6 7 3128.35 2.11316
8687 126 4 5 6 7 539.031 54.9875
8470 126 4 5 6 7 1626.99 53.6054
7786 126 4 5 6 7 92.308 48.3783
7378 126 4 5 6 7 1231.75 1.08285
7338 126 4 5 6 7 6187.18 51.3053
7911 126 4 5 6 7 3639.83 3.14952
7252 126 4 5 6 7 1225.89 51.1147
5231 126 4 5 6 7 377.368 48.5071
2558 126 4 5 6 7 3471.1 1.00628
5159 126 4 5 6 7 1275.2 0.435331
542 126 4 5 6 7 269.974 52.4815
3497 126 4 5 6 7 22586 0.681226
830 126 4 5 6 7 1560.79 3.56138
6458 126 4 5 6 7 209.137 54.4037
5039 126 4 5 6 7 76.0149 57.3466
6997 126 4 5 6 7 4673.34 0.459888
3085 126 4 5 6 7 6686.4 1.54868
5604 126 4 5 6 7 4666.29 52.5619
1268 126 4 5 6 7 1499.18 1.39713
7305 126 4 5 6 7 2584.58 4.60314
7853 126 4 5 6 7 16.0874 49.9269
7255 126 4 5 6 7 1349.7 45.5975
5062 126 4 5 6 7 645.158 59.7307
8169 126 4 5 6 7 1342.67 59.148
4948 126 4 5 6 7 2610.38 51.8956
1949 126 4 5 6 7 1062.88 55.6564
2205 126 4 5 6 7 961.851 48.4048
5600 126 4 5 6 7 22405.9 5.9842
6168 126 4 5 6 7 0.977444 55.0588
1234 126 4 5 6 7 75966.1 1.923
