Seed  np arch1 arch2 arch3 arch4 chi2/dat duration
8904 173 4 4 9 9 1.22438e+08 227.497
6407 173 4 4 9 9 123.852 769.391
1226 173 4 4 9 9 142941 1.83886
1653 173 4 4 9 9 138097 1.83795
7822 173 4 4 9 9 2.02779e+07 2.7552
4464 173 4 4 9 9 11405.8 1.93285
2797 173 4 4 9 9 2.36505e+06 2.91159
6477 173 4 4 9 9 188071 1.84697
277 173 4 4 9 9 982625 1.85912
7501 173 4 4 9 9 3.2446e+08 1.8741
4909 173 4 4 9 9 248635 111.499
5623 173 4 4 9 9 852538 1.87451
5005 173 4 4 9 9 5.8275e+08 1.86729
3961 173 4 4 9 9 2.99436e+06 12.16
3839 173 4 4 9 9 1.30641e+06 1.88753
6057 173 4 4 9 9 244984 1.87888
3348 173 4 4 9 9 666258 9.42924
6421 173 4 4 9 9 9.89123e+06 1.85256
4557 173 4 4 9 9 18455.7 1.91853
5679 173 4 4 9 9 105827 1.92998
1120 173 4 4 9 9 3.60825e+06 1.85646
5051 173 4 4 9 9 8729.15 1.96949
2333 173 4 4 9 9 270352 1.93608
4385 173 4 4 9 9 0.953221 764.93
9105 173 4 4 9 9 1.43035e+07 1.85388
9609 173 4 4 9 9 1.24394e+07 1.84334
6883 173 4 4 9 9 878780 2.98395
6083 173 4 4 9 9 1976.92 1.9641
9324 173 4 4 9 9 66228.7 2.8824
8390 173 4 4 9 9 149207 1.93047
26 173 4 4 9 9 33611.3 13.9387
766 173 4 4 9 9 14819.6 1.87102
9355 173 4 4 9 9 17800.5 14.1883
5676 173 4 4 9 9 476456 61.0465
1784 173 4 4 9 9 8497.6 3.01412
3539 173 4 4 9 9 4.73923e+06 2.88288
1285 173 4 4 9 9 100508 1.87
4173 173 4 4 9 9 275938 1.87618
8804 173 4 4 9 9 10623.2 484.998
7048 173 4 4 9 9 9337.3 15.1347
1658 173 4 4 9 9 724929 3.00468
8853 173 4 4 9 9 99814.3 2.85957
105 173 4 4 9 9 100960 1.87017
488 173 4 4 9 9 442558 1.85897
1872 173 4 4 9 9 16752.8 1.92502
7507 173 4 4 9 9 630204 1.84512
7422 173 4 4 9 9 48449.9 1.87787
2315 173 4 4 9 9 287407 1.85448
6199 173 4 4 9 9 249.256 814.31
1005 173 4 4 9 9 99683.7 1.88151
7615 173 4 4 9 9 691364 119.198
