Seed  np arch1 arch2 arch3 arch4 chi2/dat duration
3337 299 8 8 10 10 9.17475e+06 3.29748
133 299 8 8 10 10 644474 3.29841
4921 299 8 8 10 10 195378 3.34573
1696 299 8 8 10 10 21368 589.642
27 299 8 8 10 10 9.24259e+07 4.94437
4029 299 8 8 10 10 2591.81 22.0913
5208 299 8 8 10 10 51164.6 5.10059
5645 299 8 8 10 10 1.41209e+06 5.32503
2183 299 8 8 10 10 6.89163e+06 3.34585
9720 299 8 8 10 10 5.76657e+06 4.93233
5500 299 8 8 10 10 5388.87 38.1963
1120 299 8 8 10 10 3.21959e+06 3.29706
9622 299 8 8 10 10 948726 3.34267
1227 299 8 8 10 10 233552 4.97332
3403 299 8 8 10 10 186003 4.93343
3477 299 8 8 10 10 102491 3.36261
5716 299 8 8 10 10 1234.36 5.32568
5163 299 8 8 10 10 308352 3.33741
2002 299 8 8 10 10 4749.11 3.45647
1577 299 8 8 10 10 2.36744e+06 3.36941
644 299 8 8 10 10 8.60387e+06 3.34779
6778 299 8 8 10 10 2.86033e+07 3.35443
8293 299 8 8 10 10 603129 3.36692
6144 299 8 8 10 10 629689 3.38597
4277 299 8 8 10 10 708967 3.29798
9906 299 8 8 10 10 112395 36.8252
2020 299 8 8 10 10 5.3761e+06 4.93246
8203 299 8 8 10 10 82410.3 3.34108
1964 299 8 8 10 10 315902 4.92597
6018 299 8 8 10 10 2.21073e+06 5.03022
9630 299 8 8 10 10 91999.5 3.35713
4058 299 8 8 10 10 80732.8 4.98121
8613 299 8 8 10 10 1.96391e+07 3.30446
1048 299 8 8 10 10 412429 3.30282
4388 299 8 8 10 10 637.606 1253.35
2872 299 8 8 10 10 822296 3.42265
5043 299 8 8 10 10 1.4e+07 5.04268
3985 299 8 8 10 10 217134 3.33591
8531 299 8 8 10 10 34204 5.02504
9656 299 8 8 10 10 573897 5.20268
7183 299 8 8 10 10 895804 61.475
8517 299 8 8 10 10 1.23335e+06 4.98591
5120 299 8 8 10 10 2.93674e+06 3.28541
9910 299 8 8 10 10 869068 4.9891
9896 299 8 8 10 10 260410 3.30833
1706 299 8 8 10 10 11341.2 5.35059
9605 299 8 8 10 10 213140 3.43008
9340 299 8 8 10 10 18750.3 3.2944
6173 299 8 8 10 10 1.09394e+07 3.34077
4150 299 8 8 10 10 139399 3.31734
2332 299 8 8 10 10 1.01907e+06 51.2025
