Seed  np arch1 chi2/dat duration
2557 88 29 1.10961 2.84488
6688 88 29 4.82926 2.75312
9106 88 29 88.5195 2.73421
6604 88 29 6.93123 2.59214
4943 88 29 0.450946 3.01486
5109 88 29 4.64336 2.96214
4423 88 29 4.87666 2.82333
5459 88 29 0.720514 2.67177
7659 88 29 1.71474 2.72207
8346 88 29 2.0884 2.80532
6771 88 29 10.1119 2.82815
3764 88 29 3.42848 3.02468
8303 88 29 0.568569 2.92609
9846 88 29 1.19186 2.82143
1002 88 29 0.614821 2.76968
2480 88 29 25.3295 2.87399
3609 88 29 1.27141 2.65794
4983 88 29 1.11581 2.66375
7508 88 29 1.94013 2.79792
7220 88 29 32.5343 2.74387
9054 88 29 0.388658 2.84978
4245 88 29 5.77717 2.99546
38 88 29 0.678027 2.75474
373 88 29 0.747359 3.94935
6350 88 29 5.67633 2.82287
673 88 29 1.13496 3.01234
5992 88 29 0.554171 2.79322
652 88 29 0.992567 2.84059
4944 88 29 4.07698 2.79776
7353 88 29 13.2091 2.66193
5062 88 29 4.85834 2.74424
5447 88 29 1.37141 3.15854
607 88 29 0.984672 2.77609
3741 88 29 5.64088 2.75659
9455 88 29 17.2284 2.93603
1980 88 29 0.383821 2.95433
355 88 29 2.20689 2.98605
3674 88 29 21.1646 2.75312
3861 88 29 1.27402 2.7454
9139 88 29 0.629439 2.72595
8108 88 29 6.77754 2.68407
3902 88 29 7.1022 2.75613
8192 88 29 2.11003 3.14151
2309 88 29 1.52329 2.68975
3490 88 29 1.17066 2.63906
9333 88 29 2.88948 2.91991
1035 88 29 3.48637 3.20497
762 88 29 0.547214 2.9106
1319 88 29 0.687001 2.74144
114 88 29 0.81738 3.11175
5545 88 29 120.046 2.76825
