Seed  np arch1 chi2/dat duration
1676 103 34 1.62676e+06 0.120589
3147 103 34 0.407743 21.9667
51 103 34 411323 0.0900028
9854 103 34 299451 0.0887069
8458 103 34 6449.33 0.119128
4065 103 34 7577.91 0.0935156
3643 103 34 28357.6 0.0900733
6080 103 34 849527 0.116806
591 103 34 22349 0.609042
6409 103 34 5886.71 0.0942746
1572 103 34 778907 0.086675
1588 103 34 148161 0.149784
5300 103 34 340190 8.25279
1790 103 34 261901 0.0914538
8864 103 34 4533.89 0.0937639
5318 103 34 23645.8 0.0876821
7686 103 34 0.596598 20.4643
9008 103 34 30.7312 20.6012
9109 103 34 0.782978 22.9989
376 103 34 78762 0.153623
1045 103 34 35705.5 5.23565
5885 103 34 151227 0.0876593
2541 103 34 11617.1 0.11568
4497 103 34 19918.4 0.0870233
8878 103 34 0.963776 20.8314
4900 103 34 185637 0.0888249
7274 103 34 0.751639 24.3705
3519 103 34 951.106 15.5309
2491 103 34 948.322 1.12772
1723 103 34 275771 0.123318
7025 103 34 190302 0.0912067
8061 103 34 207582 0.0874515
5499 103 34 7.13776e+07 0.0847691
2598 103 34 3559.05 0.0957246
9488 103 34 332774 0.0904383
6383 103 34 419348 2.24074
6304 103 34 2.79438e+06 10.2183
4613 103 34 12110.2 0.0931236
339 103 34 87569.4 2.69994
7142 103 34 437912 1.20664
2294 103 34 55515.2 0.0952475
7180 103 34 16995.8 0.0874909
2440 103 34 28675.4 0.561519
689 103 34 2262.18 0.0900563
1295 103 34 2620 20.346
3486 103 34 67490.7 0.11701
755 103 34 7.2379 24.2414
796 103 34 186930 13.3714
3468 103 34 1.30998e+06 0.086161
5257 103 34 38911.6 0.850179
9080 103 34 3.17812e+06 0.094012
