Seed  np arch1 chi2/dat duration
632 112 37 4.61151 196.626
1169 112 37 1.52363 156.436
4888 112 37 3.26103 189.604
3877 112 37 4.11618 158.48
2889 112 37 0.633065 139.353
6128 112 37 3.61178 150.777
6558 112 37 1.51361 160.693
40 112 37 1.63317 141.303
7595 112 37 61.935 157.066
9968 112 37 6.94756 176.705
7833 112 37 1.81395 174.14
7524 112 37 37.4603 195.068
6093 112 37 2.1866 141.954
1525 112 37 59.1678 158.79
189 112 37 4.79591 133.884
5651 112 37 0.491576 192.589
8299 112 37 11.4012 144.467
8200 112 37 2.86078 146.555
5948 112 37 0.554189 160.146
6797 112 37 0.696472 156.281
1432 112 37 3.68694 161.212
8806 112 37 3.66338 156.629
3876 112 37 125.394 185.251
1130 112 37 19.1106 196.527
6032 112 37 1.50469 165.108
2924 112 37 1.29208 175.505
5101 112 37 103.952 162.733
7924 112 37 33.2346 140.886
4573 112 37 3.21833 149.592
6655 112 37 0.692442 173.322
2084 112 37 4.81409 151.383
1238 112 37 1.03533 148.348
4040 112 37 1.85259 143.731
739 112 37 4.05786 166.528
91 112 37 0.929177 148.744
1861 112 37 0.860801 146.772
8902 112 37 2.16882 138.328
9643 112 37 1.79372 166.49
8639 112 37 1.87318 176.457
4512 112 37 11.4794 162.852
4142 112 37 5.99029 149.386
4152 112 37 4.13829 149.776
984 112 37 0.915109 151.646
1430 112 37 2.08778 170.997
9344 112 37 1.92063 164.648
5193 112 37 0.795005 147.271
5871 112 37 0.514683 151.043
1651 112 37 5.39415 198.195
5969 112 37 4.22426 132.035
3215 112 37 0.527157 170.539
30 112 37 1.60998 154.748
