Seed  np arch1 arch2 chi2/dat duration
4357 117 10 8 90.0755 4.13033
7351 117 10 8 142.579 3.78398
6137 117 10 8 1.00959 3.82394
2065 117 10 8 24.7496 3.92678
9820 117 10 8 0.604169 3.93227
9550 117 10 8 532.096 4.20905
840 117 10 8 0.704263 4.04638
6837 117 10 8 107.659 4.56826
4313 117 10 8 3.37217 4.11367
1262 117 10 8 1.69362 4.04637
5518 117 10 8 0.688434 4.44355
4769 117 10 8 0.713588 3.86848
5380 117 10 8 3.49643 3.85125
1351 117 10 8 26.6397 4.02523
851 117 10 8 86.3514 3.96093
6197 117 10 8 256.016 3.83394
9780 117 10 8 1.39968 4.00406
987 117 10 8 83.7797 4.03717
8611 117 10 8 100.485 4.54671
6582 117 10 8 20.1704 4.56692
251 117 10 8 0.517382 4.03794
5764 117 10 8 0.90912 4.16485
7271 117 10 8 3.84617 4.05701
9206 117 10 8 8.36003 4.11932
1358 117 10 8 0.735454 4.00597
6419 117 10 8 122.812 4.12935
423 117 10 8 153.767 4.5106
472 117 10 8 60.5803 4.43916
7984 117 10 8 23.4874 4.02502
3581 117 10 8 0.550262 4.34303
6555 117 10 8 1.29195 4.32925
3778 117 10 8 481.228 1.85028
8559 117 10 8 0.409195 4.30718
7968 117 10 8 43.2158 4.16994
626 117 10 8 0.550564 3.91974
3310 117 10 8 2.0563 3.91672
9251 117 10 8 47.8058 3.953
6734 117 10 8 4.82671 3.77052
4523 117 10 8 11.8036 3.95939
1785 117 10 8 3.39492 3.85854
7747 117 10 8 80.4266 4.58629
4247 117 10 8 5.13987 3.9647
499 117 10 8 6.36783 4.12699
2553 117 10 8 13.6815 4.32261
5233 117 10 8 3.59455 4.18517
622 117 10 8 6.51288 4.55352
5338 117 10 8 2.55528 4.19274
1171 117 10 8 458.125 4.09119
730 117 10 8 14.2159 4.10559
5846 117 10 8 75.3368 4.09249
2552 117 10 8 15.1659 4.55802
