Seed  np arch1 arch2 chi2/dat duration
3791 81 10 5 1.2673e+06 0.0558527
1851 81 10 5 87712.5 1.67776
824 81 10 5 9437.06 2.0645
4640 81 10 5 14.7596 24.0484
3569 81 10 5 2.72853e+08 0.0863391
8766 81 10 5 59731.1 0.0588406
799 81 10 5 110308 0.0873746
7183 81 10 5 491907 0.0865407
4760 81 10 5 0.595865 22.8651
8232 81 10 5 25295.7 0.0859018
6900 81 10 5 26805.4 0.115963
8879 81 10 5 6314.92 0.0558205
217 81 10 5 7.11101 21.1208
7102 81 10 5 17599.5 0.0821588
2165 81 10 5 385.741 0.0931938
1329 81 10 5 241325 0.0812982
7900 81 10 5 98853.9 0.0572595
6400 81 10 5 0.646063 21.8316
8313 81 10 5 13737.3 7.39493
9882 81 10 5 1.36677e+06 0.0865639
7953 81 10 5 880.192 0.0886752
4664 81 10 5 0.52368 23.4304
3338 81 10 5 1.28979e+07 0.0808474
2070 81 10 5 11.3172 19.7537
8892 81 10 5 1312.29 0.203636
2986 81 10 5 5.8545e+06 0.055631
5780 81 10 5 8077.72 0.0556931
5363 81 10 5 110212 0.085197
129 81 10 5 4470.87 0.082864
5542 81 10 5 15497 0.0583056
4261 81 10 5 22167.2 0.0563551
4844 81 10 5 2391.76 2.09674
4703 81 10 5 1670.39 0.115595
4535 81 10 5 3.45991e+06 0.0558173
7324 81 10 5 140045 0.0839779
469 81 10 5 14661.8 0.0848636
8610 81 10 5 21.0277 21.1176
2892 81 10 5 645.97 2.19848
2292 81 10 5 33664.5 0.915888
3631 81 10 5 350513 0.0872999
2228 81 10 5 72334.7 1.91975
4246 81 10 5 16205.6 0.0891758
6278 81 10 5 261.157 14.8578
2999 81 10 5 2.00482e+06 0.0559154
2915 81 10 5 44722 0.115385
3451 81 10 5 5257.8 0.092511
9738 81 10 5 2.89159e+06 0.0824991
4595 81 10 5 93.0682 18.9206
1510 81 10 5 819.086 1.30652
4778 81 10 5 247450 0.0560727
761 81 10 5 224820 0.116754
