Seed  np arch1 arch2 chi2/dat duration
8462 63 9 4 10.6181 93.1688
573 63 9 4 813.164 130.284
3470 63 9 4 22.5618 134.688
6142 63 9 4 69.0045 120.417
8598 63 9 4 10.1921 107.983
7817 63 9 4 469.531 109.92
4545 63 9 4 235.379 1.14825
7473 63 9 4 216.892 118.624
8723 63 9 4 26.4352 105.924
672 63 9 4 1.07484 108.664
1773 63 9 4 4.61158 111.637
9944 63 9 4 218.383 0.86119
192 63 9 4 53.2192 114.773
3849 63 9 4 401.339 107.983
7422 63 9 4 0.757241 122.797
8136 63 9 4 73.7524 121.974
3754 63 9 4 31.3059 117.097
5273 63 9 4 768.004 1.30511
6207 63 9 4 20.8229 137.302
3689 63 9 4 1282.11 100.168
3778 63 9 4 1.8589 91.9678
5027 63 9 4 4.32188 131.908
6470 63 9 4 180.526 98.1799
5387 63 9 4 26.0291 108.388
2095 63 9 4 10062.4 1.5789
2199 63 9 4 0.713253 97.2079
2299 63 9 4 0.707953 107.574
270 63 9 4 206.691 12.0395
3524 63 9 4 365.741 1.0884
9339 63 9 4 61.7083 120.671
477 63 9 4 109.352 107.708
9363 63 9 4 40.1098 23.4251
1299 63 9 4 409.703 101.826
5804 63 9 4 726.262 12.1059
6940 63 9 4 17.6613 99.1365
2114 63 9 4 91.2275 3.89163
8961 63 9 4 0.789221 99.7341
1829 63 9 4 21.5069 108.006
1027 63 9 4 56.9165 104.894
5801 63 9 4 28.7073 107.492
8815 63 9 4 17742.8 1.16289
8892 63 9 4 203.607 126.175
1635 63 9 4 1.86872 139.095
1088 63 9 4 23.527 131.202
9234 63 9 4 100.804 1.44132
7966 63 9 4 145.508 102.033
9873 63 9 4 1208.62 1.43437
8005 63 9 4 0.700491 135.861
32 63 9 4 186.176 1.15306
8590 63 9 4 0.828659 112.961
265 63 9 4 1.27874 131.499
