Seed  np arch1 arch2 arch3 chi2/dat duration
9431 143 5 10 6 0.65117 5.58741
4110 143 5 10 6 91.4393 0.123721
5454 143 5 10 6 163.629 6.26757
590 143 5 10 6 3.09264 5.20183
4646 143 5 10 6 4.77694 5.59544
9521 143 5 10 6 60.3645 5.75146
16 143 5 10 6 315.921 6.14909
6454 143 5 10 6 13.722 5.4791
7712 143 5 10 6 2.59483 5.90674
7003 143 5 10 6 0.409823 5.84655
8589 143 5 10 6 116.567 5.54477
2649 143 5 10 6 0.314061 5.35389
1668 143 5 10 6 207.283 6.11331
1096 143 5 10 6 0.301812 5.58596
348 143 5 10 6 15.0331 5.38054
2479 143 5 10 6 36.0808 5.76167
7922 143 5 10 6 8.3475 5.85018
6133 143 5 10 6 0.777376 5.39865
1049 143 5 10 6 170.151 6.98177
7649 143 5 10 6 103.489 0.217496
5055 143 5 10 6 56.9733 5.39797
1149 143 5 10 6 140.346 5.48033
2885 143 5 10 6 48.346 5.07919
1087 143 5 10 6 0.606419 5.39906
6061 143 5 10 6 1128.34 5.39272
2301 143 5 10 6 56.9131 5.83471
7879 143 5 10 6 813.972 0.178865
352 143 5 10 6 3.65303 4.95016
3668 143 5 10 6 68.1012 5.92208
9282 143 5 10 6 204.318 0.0645555
2194 143 5 10 6 137.573 0.0547437
6058 143 5 10 6 256.786 5.2713
6593 143 5 10 6 56.5429 5.05367
5087 143 5 10 6 1986.39 0.0989
7347 143 5 10 6 24.5861 7.02575
5469 143 5 10 6 175.633 5.61889
2125 143 5 10 6 1.49821 5.79256
9765 143 5 10 6 140.199 5.5259
6244 143 5 10 6 161.687 0.49591
8690 143 5 10 6 0.343524 6.01996
5652 143 5 10 6 217.154 5.2952
1589 143 5 10 6 22.7729 5.36554
5248 143 5 10 6 119.767 5.42734
1345 143 5 10 6 1015.43 0.0458232
9846 143 5 10 6 394.009 5.07059
2615 143 5 10 6 12.257 5.39433
4004 143 5 10 6 83.3607 5.75554
9504 143 5 10 6 8.31133 5.52498
8981 143 5 10 6 0.49846 5.76483
191 143 5 10 6 68.9591 5.76911
298 143 5 10 6 11272.8 5.4987
