Seed  np arch1 arch2 arch3 chi2/dat duration
566 104 10 5 4 466601 0.0905677
1030 104 10 5 4 15402.4 0.0879648
9566 104 10 5 4 19712.2 0.0902999
5112 104 10 5 4 112787 0.137175
3996 104 10 5 4 13351.4 0.137395
1309 104 10 5 4 8271.02 0.0917474
2649 104 10 5 4 2241.06 3.46846
1046 104 10 5 4 2176.29 0.090015
44 104 10 5 4 8522.21 0.138686
1449 104 10 5 4 332015 0.0878495
317 104 10 5 4 405.54 0.143145
2894 104 10 5 4 155480 0.0906552
997 104 10 5 4 580100 0.0900301
4864 104 10 5 4 36622.7 0.0882462
478 104 10 5 4 1815.11 0.0983849
1827 104 10 5 4 12245.9 0.136756
301 104 10 5 4 946.937 0.188016
6520 104 10 5 4 1.21073e+06 0.0905603
4950 104 10 5 4 298097 0.131835
8594 104 10 5 4 4519.49 0.0901304
2558 104 10 5 4 214523 0.089818
1668 104 10 5 4 1.61691 31.9961
9103 104 10 5 4 11399.9 0.0892129
1871 104 10 5 4 23043.2 0.0897637
4411 104 10 5 4 7097.28 0.0898678
2055 104 10 5 4 74201.5 0.0912683
599 104 10 5 4 204302 0.136479
2369 104 10 5 4 1.36955e+06 0.0900244
439 104 10 5 4 406113 0.0907843
9659 104 10 5 4 387.919 60.9013
1408 104 10 5 4 2935.59 0.13185
4422 104 10 5 4 852052 0.0905752
1519 104 10 5 4 218472 0.0901955
6183 104 10 5 4 51260.1 0.0893463
8180 104 10 5 4 637.299 0.190705
195 104 10 5 4 23.9595 38.2516
4472 104 10 5 4 153602 0.089538
6122 104 10 5 4 12.8732 38.7119
7805 104 10 5 4 200823 0.141654
733 104 10 5 4 2.82286 29.7466
3608 104 10 5 4 118413 0.0909472
2710 104 10 5 4 316.888 0.146078
3120 104 10 5 4 4.19751e+06 0.131437
8527 104 10 5 4 606059 0.131619
9879 104 10 5 4 6610.32 0.139623
4528 104 10 5 4 45441.5 0.08799
5548 104 10 5 4 21033.7 0.0950032
4218 104 10 5 4 33577.6 0.0894234
6419 104 10 5 4 35290.4 0.0918525
5781 104 10 5 4 2889.06 0.0897872
1602 104 10 5 4 5379.33 0.139009
