Seed  np arch1 arch2 arch3 arch4 chi2/dat duration
2114 142 4 5 6 9 49.5629 5.71883
1280 142 4 5 6 9 77.4962 0.291483
4658 142 4 5 6 9 445.832 0.361115
6489 142 4 5 6 9 461.347 0.0836992
6197 142 4 5 6 9 19.6592 5.63246
9004 142 4 5 6 9 115.111 0.127498
3628 142 4 5 6 9 258.629 0.174781
1864 142 4 5 6 9 57.1406 6.66833
6068 142 4 5 6 9 3186.14 0.12881
2724 142 4 5 6 9 294.862 0.0531631
6717 142 4 5 6 9 104.753 6.12844
1765 142 4 5 6 9 264.456 0.105933
4377 142 4 5 6 9 797.577 5.84119
9101 142 4 5 6 9 343.041 0.122516
977 142 4 5 6 9 143.513 0.0625206
1975 142 4 5 6 9 100.319 6.31326
8713 142 4 5 6 9 232.577 0.164963
105 142 4 5 6 9 482.788 5.36755
1243 142 4 5 6 9 19.7287 6.22926
1038 142 4 5 6 9 836.442 0.0586232
8350 142 4 5 6 9 69.784 0.109023
679 142 4 5 6 9 3706.55 6.48828
3146 142 4 5 6 9 111.121 6.26523
9535 142 4 5 6 9 64.8676 0.161118
980 142 4 5 6 9 123.527 5.4827
793 142 4 5 6 9 198.479 0.515618
5175 142 4 5 6 9 6.51943 5.45079
4377 142 4 5 6 9 797.577 5.7354
6989 142 4 5 6 9 154.997 0.223699
6084 142 4 5 6 9 43.972 0.487368
9045 142 4 5 6 9 308.369 6.26563
8843 142 4 5 6 9 54.1072 6.12575
6584 142 4 5 6 9 2730.55 0.0331622
2901 142 4 5 6 9 270.263 7.37369
1460 142 4 5 6 9 413.784 5.40288
8053 142 4 5 6 9 22.0462 5.43747
3667 142 4 5 6 9 301.056 5.20138
1310 142 4 5 6 9 880.83 5.67302
9036 142 4 5 6 9 205.21 5.5746
1522 142 4 5 6 9 469.541 0.363157
5457 142 4 5 6 9 110.085 6.20512
3995 142 4 5 6 9 371.712 5.6105
9723 142 4 5 6 9 233.527 0.249428
8458 142 4 5 6 9 84.2518 0.175229
9530 142 4 5 6 9 736.711 0.0344793
1524 142 4 5 6 9 248.128 0.0521226
9882 142 4 5 6 9 122.706 5.70933
3962 142 4 5 6 9 970.822 0.338847
6955 142 4 5 6 9 59.6289 5.40527
7368 142 4 5 6 9 38.4668 5.99269
8678 142 4 5 6 9 125.167 5.50244
