Seed  np arch1 arch2 arch3 arch4 chi2/dat duration
7127 189 5 9 6 8 2504.44 0.204983
4846 189 5 9 6 8 30115.8 0.331174
7951 189 5 9 6 8 196008 0.208294
2319 189 5 9 6 8 6370.16 0.205028
8293 189 5 9 6 8 49.0182 0.339457
6318 189 5 9 6 8 6021.64 0.449471
6569 189 5 9 6 8 338193 0.209084
6925 189 5 9 6 8 49746.5 0.206478
9326 189 5 9 6 8 10799.4 0.313177
3932 189 5 9 6 8 7034.62 0.205528
4983 189 5 9 6 8 165183 0.20738
9663 189 5 9 6 8 69896.2 0.208325
9303 189 5 9 6 8 3.32291e+06 0.205034
1422 189 5 9 6 8 343.505 1.17818
8657 189 5 9 6 8 18451.9 0.208536
1901 189 5 9 6 8 1.8876e+06 0.210997
7225 189 5 9 6 8 22435.4 0.205493
1548 189 5 9 6 8 6371.92 0.317981
572 189 5 9 6 8 12406 0.311053
309 189 5 9 6 8 113537 0.322456
1123 189 5 9 6 8 133050 0.210188
4754 189 5 9 6 8 26462.2 0.30887
945 189 5 9 6 8 23148.6 0.205608
8361 189 5 9 6 8 11436 0.313437
8907 189 5 9 6 8 17000.3 0.207511
3422 189 5 9 6 8 36870.7 0.208489
960 189 5 9 6 8 102.911 0.342524
7860 189 5 9 6 8 2199.41 0.209943
6847 189 5 9 6 8 17249.1 0.209645
73 189 5 9 6 8 188.508 5.68329
2363 189 5 9 6 8 1310.75 0.205448
4071 189 5 9 6 8 6731.01 0.207852
230 189 5 9 6 8 122581 0.205543
1664 189 5 9 6 8 57942.7 0.330082
1786 189 5 9 6 8 3.7208e+07 0.308385
8133 189 5 9 6 8 145590 0.317873
7686 189 5 9 6 8 5490.57 0.210349
6071 189 5 9 6 8 165612 0.209889
7677 189 5 9 6 8 18631.3 0.209573
4792 189 5 9 6 8 1.68458e+06 0.308517
3022 189 5 9 6 8 1131.23 0.21183
1812 189 5 9 6 8 30202.2 0.211116
7065 189 5 9 6 8 88158 0.208096
8532 189 5 9 6 8 37.3221 89.9098
4012 189 5 9 6 8 8259.61 0.222796
746 189 5 9 6 8 22837.9 0.209917
5676 189 5 9 6 8 6427.07 0.308383
9908 189 5 9 6 8 116610 0.209723
3220 189 5 9 6 8 120614 7.40609
8301 189 5 9 6 8 2.58459e+06 0.205936
1715 189 5 9 6 8 1603.63 0.223593
